name,team,age,position,country,height_cm,weight_kg,jersey_number,key_stats_goals,key_stats_assists,key_stats_shot_accuracy,key_stats_pass_accuracy,defence_tackles,defence_tackles_won,defence_duels,defence_duels_won,defence_aerial_duels_won,defence_clearances,defence_blocked_shots,defence_interceptions,distribution_assists,distribution_total_passes,distribution_pass_accuracy,distribution_passes_90_minutes,distribution_touches_game,distribution_total_crosses,distribution_cross_accuracy,offense_goals,offense_minutes_goal,offense_shot_accuracy,offense_right_foot_goals,offense_left_foot_goals,offense_headed_goals,offense_goals_inside_the_box,offense_goals_outside_the_box,offense_other_goals,offense_successful_dribbles,offense_offsides,discipline_yellow_cards,discipline_yellow_red_cards,discipline_red_cards,discipline_fouls_conceded,discipline_fouls_won
Sydie Peck,Sheffield United,19,Midfielder,England,173,0,42,0,0,0.00,100.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,1,100.0 %,10.00,1,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Davies,Sheffield United,25,Midfielder,England,180,70,22,0,0,0.00,85.4,4,50.0,16,31.25 %,0.00 %,2,0,2,0,41,85.4 %,64.74,66,1,0.00,0,0,0.00 %,0,0,0,0,0,0,1,0,1,0,0,4,0
Vinicius Souza,Sheffield United,24,Midfielder,Brazil,187,80,21,0,0,50.00,79.0,66,57.6,206,60.68 %,62.50 %,38,4,20,0,542,79.0 %,32.37,794,7,14.29,0,0,50.00 %,0,0,0,0,0,0,11,1,2,0,0,25,8
Ben Brereton Díaz,Villarreal,24,Forward,Chile,185,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Archer,Sheffield United,22,Forward,England,181,72,10,3,0,47.06,81.8,12,75.0,155,36.77 %,18.18 %,6,3,1,0,242,81.8 %,16.48,479,2,0.00,3,440.7,47.06 %,3,0,0,2,1,0,21,8,2,0,0,13,18
Daniel Jebbison,Sheffield United,20,Forward,Canada,190,69,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver McBurnie,Sheffield United,27,Forward,Scotland,188,79,9,3,1,64.29,58.0,9,22.2,183,48.63 %,49.19 %,15,1,3,1,212,58.0 %,28.14,338,3,33.33,3,226.0,64.29 %,2,0,1,3,0,0,4,4,1,2,2,12,17
Rhian Brewster,Sheffield United,23,Forward,England,180,75,7,0,0,100.00,67.4,4,25.0,19,36.84 %,25.00 %,2,0,0,0,43,67.4 %,20.26,67,0,0.00,0,0,100.00 %,0,0,0,0,0,0,0,0,0,0,0,2,1
Ryan Oné,Sheffield United,17,Forward,Scotland,0,0,26,0,0,0.00,100.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,1,100.0 %,12.86,2,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
William Osula,Sheffield United,20,Forward,Denmark,180,81,32,0,0,55.56,45.9,1,100.0,99,27.27 %,26.15 %,3,1,1,0,61,45.9 %,10.56,142,1,100.00,0,0,55.56 %,0,0,0,0,0,0,2,5,4,0,0,10,7
